iter	Passed	Remaining
365	1396	2418
366	1396	2408
367	1397	2399
368	1397	2390
369	1398	2381
370	1399	2372
371	1399	2362
372	1400	2353
373	1400	2344
374	1428	2381
375	1430	2373
376	1431	2365
377	1432	2357
378	1434	2351
379	1440	2349
380	1441	2341
381	1442	2334
382	1444	2326
383	1445	2318
384	1446	2311
385	1448	2303
386	1449	2295
387	1457	2298
388	1458	2291
389	1460	2283
390	1461	2276
391	1462	2268
392	1472	2273
393	1474	2268
394	1475	2260
395	1477	2253
396	1478	2246
397	1480	2238
398	1481	2231
399	1490	2236
400	1492	2229
401	1493	2221
402	1493	2213
403	1494	2205
404	1495	2196
405	1496	2189
406	1497	2181
407	1498	2173
408	1503	2173
409	1505	2167
410	1506	2159
411	1507	2151
412	1508	2143
413	1508	2135
414	1509	2127
415	1510	2119
416	1510	2112
417	1525	2124
418	1526	2117
419	1527	2109
420	1528	2102
421	1536	2104
422	1538	2098
423	1540	2092
